22:05:14  |  Core  |  Info  |  * Shutdown: FontManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_FontManager.cpp  |  64
22:05:14  |  Core  |  Info  |  FontManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_FontManager.cpp  |  71
22:05:14  |  Core  |  Info  |  * Shutdown: ControllerManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  63
22:05:14  |  Core  |  Info  |  ControllerManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  74
22:05:14  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  108
22:05:14  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  110
22:05:14  |  Core  |  Info  |  * Shutdown: LayoutManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  57
22:05:14  |  Core  |  Info  |  LayoutManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  62
22:05:14  |  Core  |  Info  |  * Shutdown: PluginManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  56
22:05:14  |  Core  |  Info  |  PluginManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  61
22:05:14  |  Core  |  Info  |  * Shutdown: DynLibManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  52
22:05:14  |  Core  |  Info  |  DynLibManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  59
22:05:14  |  Core  |  Info  |  * Shutdown: LanguageManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  56
22:05:14  |  Core  |  Info  |  LanguageManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  60
22:05:14  |  Core  |  Info  |  * Shutdown: ResourceManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  63
22:05:14  |  Core  |  Info  |  ResourceManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  73
22:05:14  |  Core  |  Info  |  * Shutdown: FactoryManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  49
22:05:14  |  Core  |  Info  |  FactoryManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  51
22:05:14  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  67
22:05:14  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  72
22:05:14  |  Core  |  Info  |  * Shutdown: WidgetManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  105
22:05:14  |  Core  |  Info  |  WidgetManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  114
22:05:14  |  Core  |  Info  |  Gui successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Gui.cpp  |  190
22:05:14  |  Platform  |  Info  |  * Shutdown: RenderManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  78
22:05:14  |  Platform  |  Info  |  RenderManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  86
22:05:14  |  Platform  |  Info  |  * Shutdown: DataManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  42
22:05:14  |  Platform  |  Info  |  DataManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  44
